Participant,System,Overall Envelopment and Immersion,Spatial & Temporal Quality,Spectral Quality
P1,A,4,3,5
P1,B,4,4,6
P1,C,5,5,5
P1,D,3,3,4
P1,A,4,3,6
P1,B,2,3,5
P1,C,2,2,5
P1,D,3,3,2
P1,A,3.4,3.1,5.15
P1,B,3.4,3.1,5.15
P1,C,3.4,3.1,5.15
P1,D,3.4,3.1,5.15
P1,A,3,2,6
P1,B,1,2,6
P1,C,2,3,6
P1,D,5,3,4
P1,A,2,3,6
P1,B,4,4,7
P1,C,6,4,6
P1,D,5,3,5
P1,A,2,1,5
P1,B,4,4,4
P1,C,2,3,5
P1,D,5,4,5
P2,A,6,6,6
P2,B,5,3,5
P2,C,5,3,5
P2,D,2,3,2
P2,A,7,7,6
P2,B,5,5,4
P2,C,6,5,4
P2,D,1,2,0
P2,A,6,6,7
P2,B,6,6,7
P2,C,5,5,6
P2,D,4,4,5
P2,A,4,4,7
P2,B,3,3,6
P2,C,2,2,4
P2,D,7,6,7
P2,A,4,4,6
P2,B,3,3,5
P2,C,6,6,7
P2,D,1,1,0
P2,A,5,4,7
P2,B,2,2,2
P2,C,6,6,7
P2,D,4,3,5
P3,A,4,3,6
P3,B,6,3,3
P3,C,6,4,5
P3,D,6,5,4
P3,A,6,4,7
P3,B,6,6,7
P3,C,7,6,7
P3,D,7,7,7
P3,A,6,4,7
P3,B,6,5,7
P3,C,7,6,7
P3,D,7,6,7
P3,A,5,4,5
P3,B,6,5,7
P3,C,6,6,7
P3,D,7,7,7
P3,A,5,3,7
P3,B,5,6,7
P3,C,5,6,7
P3,D,4,4,7
P3,A,2,1,7
P3,B,4,5,6
P3,C,3,3,6
P3,D,4,6,5
P4,A,7,7,7
P4,B,7,6,7
P4,C,7,7,7
P4,D,6,5,5
P4,A,6,5,5
P4,B,6,6,6
P4,C,6,5,6
P4,D,7,7,7
P4,A,5,5,6
P4,B,7,7,7
P4,C,6,5,6
P4,D,6,6,6
P4,A,5,5,5
P4,B,6,6,6
P4,C,6,6,5
P4,D,6,6,6
P4,A,5,4,5
P4,B,5,5,5
P4,C,5,5,5
P4,D,4,3,4
P4,A,6,6,6
P4,B,5,3,4
P4,C,6,6,6
P4,D,6,5,6
P5,A,2,2,4
P5,B,4,3,7
P5,C,3,2,4
P5,D,6,6,6
P5,A,4,4,6
P5,B,6,5,4
P5,C,4,4,3
P5,D,6,5,6
P5,A,4,3,4
P5,B,7,7,7
P5,C,5,6,6
P5,D,5,5,3
P5,A,3,2,6
P5,B,4,4,7
P5,C,4,3,7
P5,D,6,5,7
P5,A,3,3,4
P5,B,5,4,6
P5,C,6,6,7
P5,D,4,4,4
P5,A,3,3,2
P5,B,4,4,4
P5,C,3,3,3
P5,D,4,5,5
P6,A,6,5,6
P6,B,3,3,4
P6,C,5,3,5
P6,D,5,4,5
P6,A,3,4,3
P6,B,6,4,4
P6,C,4,5,4
P6,D,5,5,5
P6,A,6,4,5
P6,B,6,6,5
P6,C,6,5,4
P6,D,5,3,5
P6,A,2,4,3
P6,B,3,5,3
P6,C,4,3,4
P6,D,5,4,4
P6,A,6,6,5
P6,B,4,4,3
P6,C,6,6,6
P6,D,4,3,4
P6,A,2,2,4
P6,B,3,2,4
P6,C,5,4,4
P6,D,4,5,5
P7,A,5,5,5
P7,B,3,3,2
P7,C,3,2,1
P7,D,2,1,0
P7,A,6,6,6
