Stimulus,System,SDR,SI-SDR,LSD,Silence %
alabama,DNN-Based,-0.849791704,3.2718138498485705,101.20170504941328,0
ballad,DNN-Based,3.885085221121289,4.379988642996879,117.55916644418642,0
escape,DNN-Based,-0.11941439,0.6322016890334221,132.78369259585222,0
five,DNN-Based,2.2324764031913373,2.9256176032466903,107.7980199267754,0
fred,DNN-Based,4.424049435553076,4.3546251431895735,102.1164133782708,0
guardians,DNN-Based,4.781482797028769,5.591356381465677,105.2362980138969,0
jigsaw,DNN-Based,4.907019419191943,5.604221144,92.48649895201414,0
money,DNN-Based,-0.445228273,1.0909157562062195,104.76853193716688,0
queen,DNN-Based,2.696792890465382,3.875076101740636,93.50889000429156,0
stretch,DNN-Based,0.1612790534061318,4.637825014032599,113.29964287828302,0
laufey,DNN-Based,0.7937546069486564,2.724404662788153,104.39491798847176,0
snow,DNN-Based,4.213670185759544,2.2016807951311748,108.00901230241828,0
alabama,MLP-Based,0.784856314,-6.967541784,557.3100699,0
ballad,MLP-Based,0.6081308350998236,-7.377589678,704.101363,0
escape,MLP-Based,0.5741012713189645,-8.129006363,761.0200759418908,0
five,MLP-Based,-0.224977797,-1.790906047,45.7201096,0
fred,MLP-Based,1.610851789387802,-3.195521295,195.5344903250312,0
guardians,MLP-Based,2.904959685247976,0.6813725336315879,30.29996282,0
jigsaw,MLP-Based,0.4715974755040581,-8.260705716,698.1795299097563,0
money,MLP-Based,0.8085637781005298,-3.750629444,119.74602595395216,0
queen,MLP-Based,1.1414001589450506,-1.715003565,59.908645658737846,0
stretch,MLP-Based,0.06662468,-17.26388927,1836.070176759287,0
laufey,MLP-Based,1.252134038783638,-3.196277023,231.0156882839474,0
snow,MLP-Based,0.7123317397451387,-2.542683991,115.49729914067711,0
